source,target,weight
septum,Area parahippocampalis,7
septum,Wulst,7
Arcopallium,Wulst,7
cerebellum,Striatum laterale,7
Nidopallium caudale,nucleus geniculatus lateralis pars dorsalis principalis,7
neostriatum caudale pars caudale,Wulst,7
neostriatum caudale pars caudale,Mesopallium,7
neostriatum caudale pars caudale,Area parahippocampalis,7
tectum,Striatum mediale,7
ventral striatum,Nidopallium caudolaterale,7
ventral thalamus,Arcopallium,7
ansa lenticularis,ectostriatum pars peripherialis,7
ansa lenticularis,Nidopallium intermedium,7
medulla oblongata,neostriatum dorsale,7
medulla oblongata,nucleus geniculatus lateralis pars dorsalis principalis,7
medulla oblongata,nucleus geniculatus lateralis pars ventralis,7
medulla oblongata,nucleus pretectalis,7
superior parietal lobule,cortical area pga,2
medulla oblongata,tectum opticum,7
pons,Nucleus entopalliallis,7
pons,ectostriatum pars peripherialis,7
cerebellum,neostriatum intermedium pars laterale,7
cerebellum,Arcopallium intermedium,7
cerebellum,tectum opticum,7
pretectum,archistriatum posterior nucleus striae terminalis,7
pretectum,nucleus dorsolateralis posterior thalami,7
subpretectal complex,nucleus dorsointermedius posterior,7
subpretectal complex,nucleus spiriformis lateralis,7
habenula,nucleus subrotundus,7
habenula,nucleus intracollicularis,7
nucleus dorsolateralis posterior thalami,archistriatum posterior nucleus striae terminalis,7
dorsal thalamus,Hippocampus,7
mesencephalon,neostriatum dorsale,7
nuclei preoptici,Hippocampus,7
ventral thalamus,nucleus subcoeruleus,7
ventral striatum,septum,7
thalamus,Hyperpallium apicale,7
neostriatum caudale pars caudale,Hyperpallium apicale,7
Nucleus interfacialis nidopallialis,Hyperpallium densocellulare,7
unsorted folder,Mesopallium,7
superior parietal lobule,temporal area taa,2
Nidopallium caudale,Nucleus posterioris  amygdalopallii,7
Wulst,Striatum mediale,7
mesencephalon,neostriatum dorsale,7
nidopallium,septum,7
ventral striatum,Nucleus taeniae  amygdalae,7
tegmentum,nucleus dorsomedialis posterior thalami,7
substantia nigra,Area ventralis tegmenti,7
substantia nigra,septum,7
Nidopallium frontale,hippocampus pars ventrale,7
Striatum mediale,hippocampus pars ventrale,7
dorsal striatum,hippocampus pars ventrale,7
Nidopallium frontale,hippocampus pars dorsolaterale,7
pallium,Striatum mediale,7
